"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"156","Adam Gaudette","VAN","C","1","0.016666666666667","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"157","Vladislav Gavrikov","CBJ","D","1","1.8833333333333","1.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"158","Mason Appleton","WPG","C","1","1.15","1.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.17","0","0","-"
"159","Philippe Myers","PHI","D","1","0.6","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"160","Kevin Rooney","NYR","C","1","3.3666666666667","3.3666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.82","0.00"
"161","Brandon Tanev","PIT","L","1","2.45","2.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.49","0","0","0","0","-"
"162","Matthew Tkachuk","CGY","L","1","0.2","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"163","Adam Fox","NYR","D","1","5.05","5.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.88","0","0","-"
"164","Ryan Lindgren","NYR","D","1","4.1","4.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.63","0","14.63","0","0","-"
"165","Libor Hajek","NYR","D","1","1.05","1.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"166","Dillon Dube","CGY","C","1","1.4","1.4","0","0","0","0","0","-","42.86","0.00","4.05","42.86","42.86","42.86","42.86","0","0","0","0","0","0","0","42.86","0","0","0","0","0","0","0","-"
"167","Brett Howden","NYR","C","1","3.2","3.2","0","0","0","0","0","-","0","-","0.95","18.75","18.75","0","0","0","0","0","0","0","0","0","0","0","18.75","0","18.75","0","18.75","18.75","937.50"
"168","Dante Fabbro","NSH","D","1","1.9","1.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"169","Connor Bunnaman","PHI","C","1","1.0833333333333","1.0833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"170","Jake Bean","CAR","D","1","0.38333333333333","0.38333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"171","Jesper Bratt","N.J","L","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"172","Mikhail Sergachev","T.B","D","1","1.9666666666667","1.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"173","Nathan Bastian","N.J","R","1","0.2","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"174","Michael McLeod","N.J","C","1","0.2","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","-"
"175","Brandon Hagel","CHI","L","1","0.53333333333333","0.53333333333333","0","112.5","112.5","0","112.5","100.00","112.5","0.00","6.22","112.5","112.5","112.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"176","Zach Aston-Reese","PIT","C","1","0.66666666666667","0.66666666666667","0","0","0","0","0","-","0","-","0","90","0","90","90","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"177","Nolan Patrick","PHI","C","1","0.61666666666667","0.61666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"178","Juuso Valimaki","CGY","D","1","2.4","2.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","-"
"179","Henri Jokiharju","BUF","D","1","1.65","1.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"180","Miro Heiskanen","DAL","D","1","2.2166666666667","2.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"181","Martin Necas","CAR","C","1","0.75","0.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","-"
"182","Erik Brannstrom","OTT","D","1","0.65","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"183","Alexandre Texier","CBJ","C","1","1.1333333333333","1.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"184","David Kampf","CHI","C","1","1.2333333333333","1.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.3","48.65","3243.24"
"185","Neal Pionk","WPG","D","1","0.55","0.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"186","Jan Rutta","T.B","D","1","2.0333333333333","2.0333333333333","0","29.51","29.51","0","29.51","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"187","Eetu Luostarinen","FLA","C","1","1.1833333333333","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","50.7","0","0","0","0","0","101.41","0.00"
"188","Jacob Bryson","BUF","D","1","4.2333333333333","4.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.17","0","0","-"
"189","Eric Robinson","CBJ","L","1","0.38333333333333","0.38333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"190","Quinn Hughes","VAN","D","1","0.016666666666667","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"191","K'Andre Miller","NYR","D","1","2.85","2.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"192","Rasmus Dahlin","BUF","D","1","0.58333333333333","0.58333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"193","Alexander Romanov","MTL","D","1","0.93333333333333","0.93333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.29","0","0","-"
"194","Yegor Sharangovich","N.J","C","1","1.0333333333333","1.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.06","0","0","0","58.06","58.06","2903.23"
"195","Dylan Cozens","BUF","C","1","0.46666666666667","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"196","Ilya Mikheyev","TOR","R","1","0.53333333333333","0.53333333333333","0","0","0","0","0","-","112.5","0.00","11.73","112.5","112.5","112.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"197","Artem Zub","OTT","D","1","0.65","0.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
